Date/Time (LST),Longitude (x),Latitude (y),Temp (°C),Precip. Amount (mm),Wind Spd (km/h),Visibility (km),Weather
2014-12-13 00:00:00,-79.4,43.63,2.6,0.2,18.0,16.1,
2014-12-14 06:00:00,-79.4,43.63,2.9,0.2,18.0,8.1,Fog
2014-12-16 07:00:00,-79.4,43.63,2.3,0.5,34.0,14.5,Rain
2014-12-16 08:00:00,-79.4,43.63,2.6,0.2,22.0,16.1,Rain
2014-12-16 11:00:00,-79.4,43.63,3.7,0.5,24.0,6.4,"Rain,Fog"
2014-12-16 12:00:00,-79.4,43.63,3.7,0.8,24.0,8.1,Fog
2014-12-16 16:00:00,-79.4,43.63,3.9,0.2,22.0,4.0,"Rain,Fog"
2014-12-16 17:00:00,-79.4,43.63,4.0,0.8,21.0,2.8,Fog
2014-12-16 18:00:00,-79.4,43.63,4.0,0.5,21.0,2.8,"Rain,Fog"
2014-12-16 19:00:00,-79.4,43.63,4.2,0.8,18.0,3.6,"Rain,Fog"
2014-12-16 20:00:00,-79.4,43.63,4.2,0.5,17.0,2.8,Fog
2014-12-16 21:00:00,-79.4,43.63,4.5,0.2,5.0,2.0,"Rain,Fog"
2014-12-16 23:00:00,-79.4,43.63,4.1,0.2,8.0,0.6,Fog
2014-12-17 01:00:00,-79.4,43.63,4.0,0.2,8.0,2.0,Fog
2014-12-17 02:00:00,-79.4,43.63,3.9,0.2,8.0,2.0,"Rain,Fog"
2014-12-17 03:00:00,-79.4,43.63,4.3,0.5,9.0,2.8,"Rain,Fog"
2014-12-17 04:00:00,-79.4,43.63,4.6,0.2,11.0,6.4,"Rain,Fog"
2014-12-17 05:00:00,-79.4,43.63,4.5,0.2,11.0,9.7,Fog
2014-12-17 06:00:00,-79.4,43.63,5.0,0.2,17.0,14.5,Rain
2014-12-17 09:00:00,-79.4,43.63,3.5,0.2,32.0,16.1,Rain
2014-12-17 11:00:00,-79.4,43.63,2.6,0.5,30.0,16.1,Rain
2014-12-17 12:00:00,-79.4,43.63,2.4,0.2,28.0,16.1,Rain
2014-12-17 13:00:00,-79.4,43.63,2.7,0.5,35.0,16.1,Rain
